Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,4090
1,0,1,134,4090
2,0,1,269,4090
3,0,1,399,4090
4,0,1,528,4090
5,0,1,655,4090
6,0,1,784,4090
7,0,4,914,4090
8,0,22,1029,4090
9,0,194,1029,4090
10,0,365,1029,4090
11,0,533,1029,4090
12,0,703,1029,0
13,0,870,1029,0
14,0,1040,1029,0
15,0,1209,1029,0
16,0,1375,1029,0
17,0,1540,1029,0
18,0,1698,1029,0
19,0,1840,1029,0
20,0,1975,1030,0
21,0,2120,1030,0
22,0,2267,1030,0
23,0,2411,1030,0
24,0,2557,1030,0
25,0,2702,1030,0
26,0,2845,1030,0
27,0,2989,1030,0
28,0,3060,1030,0
29,0,3060,1030,0
30,0,3060,1030,0
31,0,3060,1030,0
32,0,3060,1030,0
33,0,3060,1030,0
34,0,3060,1030,0
35,0,3060,1030,0
36,0,3060,1030,0
37,0,3060,1030,0
38,0,3060,1030,0
39,0,3060,1030,0
40,0,3060,1030,0
41,0,3060,1030,0
42,0,3060,1030,0
43,0,3060,1030,0
44,0,3060,1030,0
45,0,3060,1030,0
46,0,3060,1030,0
47,0,3060,1030,0
48,0,3060,1030,0
49,0,3060,1030,0
50,0,3060,1030,0
51,0,3060,1030,0
52,0,3060,1030,0
53,0,3060,1030,0
54,0,3060,1030,0
55,0,3060,1030,0
56,0,3060,1030,0
57,0,3060,1030,0
58,0,3060,1030,0
59,0,3060,1030,0
60,0,3060,1030,0
61,0,3060,1030,0
62,0,3060,1030,0
63,0,3060,1030,0
64,0,3060,1030,0
65,0,3060,1030,0
66,0,3060,1030,0
67,0,3060,1030,0
68,0,3060,1030,0
69,0,3060,1030,0
